NFT_ID,物品名称,稀有度,类型,价格设置,销售价格（不要改）,关联物品id,token名,系列,描述
id,name,rarity,Wearing_position,null,price,item_id,token_name,series,desc
int,string,string,string,null,int,int,string,string,string
1,Panda headgear,mythic,Head,31250,31250000000000000000000,1210001,Panda_headgear,Panda suit,Commemorating the faithful partner of Meland.ai: Panda Capital
2,Panda clothes,mythic,Upper body,31250,31250000000000000000000,1210002,Panda_clothes,Panda suit,Commemorating the faithful partner of Meland.ai: Panda Capital
3,Panda pants,mythic,Lower body,31250,31250000000000000000000,1210003,Panda_pants,Panda suit,Commemorating the faithful partner of Meland.ai: Panda Capital
4,Panda shoes,mythic,Shoes,31250,31250000000000000000000,1210004,Panda_shoes,Panda suit,Commemorating the faithful partner of Meland.ai: Panda Capital
5,Panda gloves,mythic,Gloves,31250,31250000000000000000000,1210005,Panda_gloves,Panda suit,Commemorating the faithful partner of Meland.ai: Panda Capital
6,Stuff Hair,common,Head,1250,1250000000000000000000,8900010,Stuff Hair,Stuff suit,I love my job!
7,Stuff Clothes,common,Upper body,1250,1250000000000000000000,8900011,Stuff Clothes,Stuff suit,I love my job!
8,Stuff Pants,common,Lower body,1250,1250000000000000000000,8900012,Stuff Pants,Stuff suit,I love my job!
9,Stuff Shoes,common,Shoes,1250,1250000000000000000000,8900013,Stuff Shoes,Stuff suit,I love my job!
10,Punk Hair,common,Head,1250,1250000000000000000000,8900014,Punk Hair,Punk suit,I'm the coolest one on this street.
11,Punk Clothes,common,Upper body,1250,1250000000000000000000,8900015,Punk Clothes,Punk suit,I'm the coolest one on this street.
12,Punk Pants,common,Lower body,1250,1250000000000000000000,8900016,Punk Pants,Punk suit,I'm the coolest one on this street.
13,Punk Shoes,common,Shoes,1250,1250000000000000000000,8900017,Punk Shoes,Punk suit,I'm the coolest one on this street.
14,Tactical Hair,common,Head,1250,1250000000000000000000,8900018,Tactical Hair,Tactical suit,Want to join a free fight?
15,Tactical Clothes,common,Upper body,1250,1250000000000000000000,8900019,Tactical Clothes,Tactical suit,Want to join a free fight?
16,Tactical Pants,common,Lower body,1250,1250000000000000000000,8900020,Tactical Pants,Tactical suit,Want to join a free fight?
17,Tactical Shoes,common,Shoes,1250,1250000000000000000000,8900021,Tactical Shoes,Tactical suit,Want to join a free fight?
18,Mars Hair,rare,Head,3125,3125000000000000000000,8900022,Mars Hair,Mars suit,To the Mars!
19,Mars Clothes,rare,Upper body,3125,3125000000000000000000,8900023,Mars Clothes,Mars suit,To the Mars!
20,Mars Pants,rare,Lower body,3125,3125000000000000000000,8900024,Mars Pants,Mars suit,To the Mars!
21,Mars Shoes,rare,Shoes,3125,3125000000000000000000,8900025,Mars Shoes,Mars suit,To the Mars!
22,Pioneer Hair,rare,Head,3125,3125000000000000000000,8900026,Pioneer Hair,Pioneer suit,"I can perform a street dance anytime, anywhere."
23,Pioneer Clothes,rare,Upper body,3125,3125000000000000000000,8900027,Pioneer Clothes,Pioneer suit,"I can perform a street dance anytime, anywhere."
24,Pioneer Pants,rare,Lower body,3125,3125000000000000000000,8900028,Pioneer Pants,Pioneer suit,"I can perform a street dance anytime, anywhere."
25,Pioneer Shoes,rare,Shoes,3125,3125000000000000000000,8900029,Pioneer Shoes,Pioneer suit,"I can perform a street dance anytime, anywhere."
26,DJ Hair,epic,Head,6250,6250000000000000000000,8900030,DJ Hair,DJ suit,Follow  the rhythm!
27,DJ Clothes,epic,Upper body,6250,6250000000000000000000,8900031,DJ Clothes,DJ suit,Follow  the rhythm!
28,DJ Pants,epic,Lower body,6250,6250000000000000000000,8900032,DJ Pants,DJ suit,Follow  the rhythm!
29,DJ Shoes,epic,Shoes,6250,6250000000000000000000,8900033,DJ Shoes,DJ suit,Follow  the rhythm!
30,Function Hair,mythic,Head,31250,31250000000000000000000,8900034,Function Hair,Function suit,Always maintain the will to fight.
31,Function Clothes,mythic,Upper body,31250,31250000000000000000000,8900035,Function Clothes,Function suit,Always maintain the will to fight.
32,Function Pants,mythic,Lower body,31250,31250000000000000000000,8900036,Function Pants,Function suit,Always maintain the will to fight.
33,Function Shoes,mythic,Shoes,31250,31250000000000000000000,8900037,Function Shoes,Function suit,Always maintain the will to fight.
34,Meta Hair,unique,Head,62500,62500000000000000000000,8900038,Meta Hair,Meta suit,"You see the present, I see the future."
35,Meta Clothes,unique,Upper body,62500,62500000000000000000000,8900039,Meta Clothes,Meta suit,"You see the present, I see the future."
36,Meta Pants,unique,Lower body,62500,62500000000000000000000,8900040,Meta Pants,Meta suit,"You see the present, I see the future."
37,Meta Shoes,unique,Shoes,62500,62500000000000000000000,8900041,Meta Shoes,Meta suit,"You see the present, I see the future."